RNA,Training_1,Training_2,Training_3,Training_4,Training_5,Training_6,Training_7,Training_8,Training_9,Training_10,Training_11,Training_12,Training_13,Training_14,Training_15,Training_16,Training_17,Training_18,Training_19,Training_20,Training_21,Training_22,Training_23,Training_24,Training_25,Training_26,Training_27,Training_28,Training_29,Training_30,Training_31,Training_32,Training_33,Training_34,Training_35,Training_36,Training_37,Training_38,Training_39,Training_40,Training_41,Training_42,Training_43,Training_44,Training_45,Training_46,Training_47,Training_48,Training_49,Training_50,Training_51,Training_52,Training_53,Training_54,Training_55,Training_56,Training_57,Training_58,Training_59,Training_60,Training_61,Training_62,Training_63,Training_64,Training_65,Training_66,Training_67,Training_68,Training_69,Training_70,Training_71,Training_72,Training_73,Training_74,Training_75,Training_76,Training_77,Training_78,Training_79,Training_80
Training_1,0.6568820476531982,0.3006270229816437,0.00010676461533876136,0.728537917137146,0.721186637878418,3.875733818858862e-05,0.992658793926239,0.8162177205085754,0.13325302302837372,0.39587968587875366,0.5457359552383423,0.26528194546699524,0.9610196352005005,0.6148451566696167,2.5446642015758414e-10,0.5822729468345642,0.5704416632652283,0.6504027247428894,0.927811861038208,2.254033765192176e-11,0.005176416598260403,0.7283413410186768,0.06323464959859848,1.1479052773211151e-05,0.0002974943781737238,0.8690828680992126,0.6726251244544983,0.3277851343154907,0.9598530530929565,0.00019665046420414,0.538901686668396,3.475181475920408e-09,0.03743267431855202,0.769601047039032,0.04813125729560852,1.485784897350094e-14,0.0003723232657648623,0.8825076222419739,0.8338053822517395,2.1604893302986858e-14,0.9143972396850586,0.5035713315010071,0.7642614841461182,6.610981539978411e-09,5.111672862767591e-07,0.9979884624481201,0.17035946249961853,0.9956837892532349,9.089745844903518e-07,0.00014026167627889663,5.980529493854192e-08,0.3671455681324005,3.5512335294640707e-09,0.2867949903011322,0.06600916385650635,0.07487757503986359,0.972887396812439,0.9928561449050903,0.03100021928548813,0.3321445882320404,3.117494316029479e-07,0.6217936277389526,0.8927675485610962,0.8615687489509583,1.1625544260596143e-07,0.9786020517349243,0.9068843126296997,0.6320601105690002,2.443141988630465e-13,8.720210644241888e-06,0.034146010875701904,0.673066258430481,8.700457328814082e-06,6.147698741187924e-07,0.9904725551605225,4.107534550712444e-05,0.8458656072616577,0.3024504780769348,0.46904537081718445,3.410723729757592e-05
Training_2,0.2727728486061096,0.5491626858711243,8.674249693285674e-05,0.05179525539278984,0.8676382899284363,0.00015151566185522825,0.7304242253303528,0.10455296188592911,0.5245198607444763,0.31149402260780334,0.30366578698158264,0.7142329812049866,0.5172852277755737,0.009043551981449127,3.6218952836897245e-10,0.42873615026474,0.30491024255752563,0.5491626858711243,0.5491626858711243,1.8390712563931544e-11,0.00017035008931998163,0.6089831590652466,0.540236234664917,7.752320243525901e-07,0.0011872963514178991,0.45044341683387756,0.5432222485542297,0.00023599108681082726,0.5681474804878235,0.0010420320322737098,0.5491626858711243,6.874582680893582e-09,0.006377011071890593,0.39402440190315247,0.5491626858711243,4.5388055835461627e-13,0.0026012917514890432,0.17934831976890564,0.38752028346061707,7.693661246283012e-13,0.4583393931388855,0.35089311003685,0.37382009625434875,1.0390980520469384e-07,5.111827249493217e-06,0.8529733419418335,0.5491626858711243,0.024819010868668556,3.003942538271076e-06,1.8940640075015835e-05,2.7655050871544518e-06,0.5491626858711243,4.056696312204622e-09,0.5491626858711243,0.5256555080413818,0.45893847942352295,0.4248770773410797,0.8972107172012329,0.5491626858711243,0.41211405396461487,4.681028258346487e-07,0.43216472864151,0.7520032525062561,0.1505526304244995,3.091127354082346e-08,0.6077426671981812,0.1996590942144394,0.3365442156791687,3.625582256291948e-12,1.5062249076436274e-05,0.36013051867485046,0.5973514318466187,1.9354874893906526e-06,8.060391337494366e-06,0.4513205289840698,0.00022985094983596355,0.5491626858711243,0.4573346674442291,0.013823970220983028,0.0001345558266621083
Training_3,8.750182869943224e-12,3.1956426393975335e-09,0.9187046885490417,0.0010566430864855647,1.2333457320609593e-18,0.02691941149532795,8.969689574422901e-12,2.2407108889968986e-15,4.649514939725208e-10,2.0260454425269359e-10,1.34293842712907e-09,0.05757522955536842,2.6496113605389837e-06,0.011210089549422264,0.17340895533561707,7.785922207403928e-06,3.471729542070534e-06,3.435017674746632e-07,7.404331654470298e-07,0.9992584586143494,0.6626076102256775,2.1590493954641772e-16,7.342351615591269e-09,0.3689118027687073,0.008274258114397526,4.961950139659166e-07,1.3891897354678662e-10,2.38958750742313e-06,9.86542167402682e-11,0.005915595684200525,2.5656998747791704e-09,0.001101238070987165,0.03841335326433182,4.155602931535905e-15,4.974673720425926e-05,0.9946757555007935,0.62274169921875,5.927432988883652e-10,4.060984675705731e-13,0.9544923901557922,2.394151229264535e-13,3.449794432324599e-13,2.0162882474750177e-10,0.02848878875374794,0.013177474029362202,5.752131571057362e-08,0.0010105646215379238,2.61540100687796e-09,0.9682016968727112,0.9995254278182983,0.8812296390533447,3.610711871715466e-07,0.004955062177032232,1.8718307615017693e-07,4.550650828605285e-06,5.569949479422576e-08,1.9875527890178546e-09,1.8940484096674481e-06,1.35913012400124e-07,0.00038912505260668695,0.9680560231208801,8.925114514113375e-08,4.6296531763800886e-07,5.23993556877933e-11,0.9985048770904541,8.004746632650495e-06,9.286118540785537e-09,2.5986063995064868e-11,0.7001140117645264,0.7175784707069397,1.5634801485193853e-16,0.973391592502594,0.9986666440963745,0.9942737221717834,3.335555120997924e-08,0.9854505062103271,9.388608305016533e-06,0.9893703460693359,0.00031467367080040276,0.0006579621112905443
Training_4,0.11176197230815887,0.04124653339385986,0.00014924521383363754,0.6739973425865173,0.09478913247585297,4.1430979763390496e-05,0.999735414981842,0.9943976402282715,0.0131462337449193,0.20003622770309448,0.4661625325679779,0.03783044219017029,0.9468204975128174,0.5165675282478333,8.822231140070969e-11,0.245965376496315,0.4813665449619293,0.416247695684433,0.8659882545471191,2.2512281969144787e-11,0.004770888946950436,0.44655704498291016,0.008196402341127396,1.1198823813174386e-05,0.00011272007395746186,0.811497688293457,0.12453016638755798,0.8425387144088745,0.966695249080658,3.101880065514706e-05,0.3784962296485901,1.765622870131267e-09,0.15381240844726562,0.3363730311393738,0.00883927196264267,1.5892967280758952e-14,0.00028047343948855996,0.8758364915847778,0.41151341795921326,1.6455302290045715e-14,0.8097888231277466,0.06072740629315376,0.7605599164962769,3.2257845283822917e-09,1.825769118113385e-07,0.9987367987632751,0.02219858020544052,0.9966883063316345,2.416735469523701e-07,0.0006954988348297775,3.442599094682919e-08,0.22060035169124603,1.8769379384053764e-09,0.05924096703529358,0.01632324419915676,0.011169464327394962,0.9714689254760742,0.9958550333976746,0.023464038968086243,0.5954081416130066,1.7349684355849604e-07,0.5610609650611877,0.2949257791042328,0.8150177001953125,7.512030038014927e-07,0.9747182130813599,0.7402065992355347,0.5159021019935608,1.6532417524816462e-13,2.7407215384300798e-05,0.0006969721871428192,0.5263987183570862,4.764575805893401e-06,1.7268055216845823e-06,0.9918956160545349,1.5258556231856346e-05,0.7631865739822388,0.1901404708623886,0.22054557502269745,2.0192044758005068e-05
Training_5,0.2727728486061096,0.5491626858711243,8.674249693285674e-05,0.05179525539278984,0.8676382899284363,0.00015151566185522825,0.7304242253303528,0.10455296188592911,0.5245198607444763,0.31149402260780334,0.30366578698158264,0.7142329812049866,0.5172852277755737,0.009043551981449127,3.6218952836897245e-10,0.42873615026474,0.30491024255752563,0.5491626858711243,0.5491626858711243,1.8390712563931544e-11,0.00017035008931998163,0.6089831590652466,0.540236234664917,7.752320243525901e-07,0.0011872963514178991,0.45044341683387756,0.5432222485542297,0.00023599108681082726,0.5681474804878235,0.0010420320322737098,0.5491626858711243,6.874582680893582e-09,0.006377011071890593,0.39402440190315247,0.5491626858711243,4.5388055835461627e-13,0.0026012917514890432,0.17934831976890564,0.38752028346061707,7.693661246283012e-13,0.4583393931388855,0.35089311003685,0.37382009625434875,1.0390980520469384e-07,5.111827249493217e-06,0.8529733419418335,0.5491626858711243,0.024819010868668556,3.003942538271076e-06,1.8940640075015835e-05,2.7655050871544518e-06,0.5491626858711243,4.056696312204622e-09,0.5491626858711243,0.5256555080413818,0.45893847942352295,0.4248770773410797,0.8972107172012329,0.5491626858711243,0.41211405396461487,4.681028258346487e-07,0.43216472864151,0.7520032525062561,0.1505526304244995,3.091127354082346e-08,0.6077426671981812,0.1996590942144394,0.3365442156791687,3.625582256291948e-12,1.5062249076436274e-05,0.36013051867485046,0.5973514318466187,1.9354874893906526e-06,8.060391337494366e-06,0.4513205289840698,0.00022985094983596355,0.5491626858711243,0.4573346674442291,0.013823970220983028,0.0001345558266621083
Training_6,0.22460779547691345,0.05481325462460518,0.0006501135067082942,0.14475645124912262,0.10168684273958206,0.9426942467689514,0.0002405206032563001,2.8276162993279286e-05,0.02144482359290123,0.078789621591568,0.2730826735496521,0.0009307354339398444,0.03513341769576073,0.12034068256616592,3.117809512787062e-07,0.0070639788173139095,0.05930333957076073,0.04006476700305939,0.4109534025192261,3.3769098628511074e-11,0.004964541178196669,0.9575167298316956,0.005174150224775076,1.3424288226815406e-05,0.9945917725563049,0.6647700667381287,0.5115660429000854,0.9332248568534851,0.9873880743980408,0.9204086661338806,0.8183890581130981,0.0010606691939756274,0.08066507428884506,0.882331132888794,0.004954975098371506,1.0624960113114756e-12,0.002549645956605673,0.25803905725479126,0.7704436779022217,1.2802930373853605e-12,0.9786591529846191,0.137747660279274,0.919485330581665,9.892361413221806e-05,0.0034775547683238983,0.0410463847219944,0.00036071226350031793,0.9960886240005493,5.193849210627377e-05,7.394764543278143e-05,0.00016558535571675748,0.4398190975189209,0.0021890616044402122,0.0621178112924099,0.00516821164637804,0.002264074282720685,0.6337246298789978,0.9976455569267273,0.11279573291540146,0.9072622060775757,8.303178765345365e-05,0.0986483097076416,0.5583903193473816,0.4969462752342224,5.028148734709248e-05,0.8771247267723083,0.8714678287506104,0.4910285472869873,1.164030399847249e-10,0.00045124415191821754,0.003173483768478036,0.6391427516937256,0.0024224123917520046,0.00012021051225019619,0.5504785776138306,0.001064969226717949,0.2751988470554352,0.023991627618670464,0.013756144791841507,0.9885656237602234
Training_7,0.036740463227033615,0.0075423214584589005,0.0007646075100637972,0.6811313629150391,0.002457561669871211,9.108957783610094e-06,0.9999854564666748,0.9995941519737244,0.0028890029061585665,0.13233976066112518,0.6148175001144409,0.34499219059944153,0.9751012921333313,0.784101128578186,3.2837388364015396e-10,0.3288961946964264,0.9140996932983398,0.34096163511276245,0.8746040463447571,7.026355497430359e-09,0.05135749280452728,0.0013785614864900708,0.006912752985954285,0.007511807605624199,2.524417368476861e-06,0.6494234800338745,0.01538549643009901,0.7945132851600647,0.7753230929374695,1.2031346159346867e-06,0.0022233573254197836,1.398395982343814e-10,0.6042567491531372,0.010148861445486546,0.016642706468701363,1.2675269904852127e-12,0.0002428109000902623,0.9920033812522888,0.11397100985050201,1.6395449451214739e-12,0.010773899964988232,0.019353745505213737,0.004631920251995325,4.704626688223357e-10,1.2581310215864505e-08,0.9999490976333618,0.21391868591308594,0.9050241112709045,2.0509082787611987e-07,0.12090390920639038,2.1073386591297094e-08,0.00813997071236372,7.725362016763881e-10,0.03270614147186279,0.014097214676439762,0.011883165687322617,0.9981854557991028,0.9500002861022949,0.0020414888858795166,0.7829859852790833,3.853330099445884e-08,0.9220926761627197,0.10316228121519089,0.9895433187484741,4.6800661948509514e-05,0.9960960745811462,0.05458499863743782,0.49205952882766724,3.1700132969991746e-12,0.00019983352103736252,1.1219325642741751e-05,0.9035655856132507,0.00032534587080590427,1.860745578596834e-05,0.9998897314071655,1.8655642634257674e-05,0.7978591322898865,0.9105682373046875,0.1817871481180191,2.7178825234841497e-07
Training_8,0.12815162539482117,0.11629598587751389,6.102857878431678e-05,0.5387388467788696,0.34201642870903015,0.0003121952759101987,0.9989787340164185,0.9847373366355896,0.026548005640506744,0.07319340854883194,0.17117998003959656,0.010172033682465553,0.5563400983810425,0.5345464944839478,3.534505327307258e-11,0.06934739649295807,0.20115946233272552,0.31650879979133606,0.6076028943061829,1.710977930516333e-12,0.0008461785619147122,0.7401869297027588,0.005269378423690796,2.2930000795895467e-06,0.0031876051798462868,0.5217346549034119,0.3286081552505493,0.41677433252334595,0.9571446180343628,0.00012652487203013152,0.44500166177749634,3.1260662947119044e-09,0.024628885090351105,0.6625920534133911,0.007204315159469843,2.378138850667004e-14,0.00038212284562177956,0.39523178339004517,0.6100427508354187,3.441643264866581e-14,0.910224199295044,0.08364978432655334,0.7846018075942993,2.701888490719284e-09,1.900571788837624e-07,0.9896489381790161,0.005571290850639343,0.9857711791992188,9.528154976123915e-08,2.655980279087089e-05,5.4078959976777696e-08,0.3228475749492645,9.863042826907531e-09,0.12545812129974365,0.013060946017503738,0.0056002638302743435,0.8023669719696045,0.989844799041748,0.06086219474673271,0.3506351411342621,8.794506101139632e-08,0.2651619613170624,0.36488986015319824,0.4013442099094391,4.88558100641967e-07,0.8901076912879944,0.7512017488479614,0.20765529572963715,2.1109620941452828e-13,2.5129666028078645e-05,0.0024567751679569483,0.29404738545417786,9.159692240245931e-07,3.5260045478935353e-06,0.9311971068382263,1.0688545444281772e-05,0.3585766851902008,0.04075600206851959,0.16914403438568115,0.0007448813412338495
Training_9,0.2727728486061096,0.5491626858711243,8.674249693285674e-05,0.05179525539278984,0.8676382899284363,0.00015151566185522825,0.7304242253303528,0.10455296188592911,0.5245198607444763,0.31149402260780334,0.30366578698158264,0.7142329812049866,0.5172852277755737,0.009043551981449127,3.6218952836897245e-10,0.42873615026474,0.30491024255752563,0.5491626858711243,0.5491626858711243,1.8390712563931544e-11,0.00017035008931998163,0.6089831590652466,0.540236234664917,7.752320243525901e-07,0.0011872963514178991,0.45044341683387756,0.5432222485542297,0.00023599108681082726,0.5681474804878235,0.0010420320322737098,0.5491626858711243,6.874582680893582e-09,0.006377011071890593,0.39402440190315247,0.5491626858711243,4.5388055835461627e-13,0.0026012917514890432,0.17934831976890564,0.38752028346061707,7.693661246283012e-13,0.4583393931388855,0.35089311003685,0.37382009625434875,1.0390980520469384e-07,5.111827249493217e-06,0.8529733419418335,0.5491626858711243,0.024819010868668556,3.003942538271076e-06,1.8940640075015835e-05,2.7655050871544518e-06,0.5491626858711243,4.056696312204622e-09,0.5491626858711243,0.5256555080413818,0.45893847942352295,0.4248770773410797,0.8972107172012329,0.5491626858711243,0.41211405396461487,4.681028258346487e-07,0.43216472864151,0.7520032525062561,0.1505526304244995,3.091127354082346e-08,0.6077426671981812,0.1996590942144394,0.3365442156791687,3.625582256291948e-12,1.5062249076436274e-05,0.36013051867485046,0.5973514318466187,1.9354874893906526e-06,8.060391337494366e-06,0.4513205289840698,0.00022985094983596355,0.5491626858711243,0.4573346674442291,0.013823970220983028,0.0001345558266621083
Training_10,0.2727728486061096,0.5491626858711243,8.674249693285674e-05,0.05179525539278984,0.8676382899284363,0.00015151566185522825,0.7304242253303528,0.10455296188592911,0.5245198607444763,0.31149402260780334,0.30366578698158264,0.7142329812049866,0.5172852277755737,0.009043551981449127,3.6218952836897245e-10,0.42873615026474,0.30491024255752563,0.5491626858711243,0.5491626858711243,1.8390712563931544e-11,0.00017035008931998163,0.6089831590652466,0.540236234664917,7.752320243525901e-07,0.0011872963514178991,0.45044341683387756,0.5432222485542297,0.00023599108681082726,0.5681474804878235,0.0010420320322737098,0.5491626858711243,6.874582680893582e-09,0.006377011071890593,0.39402440190315247,0.5491626858711243,4.5388055835461627e-13,0.0026012917514890432,0.17934831976890564,0.38752028346061707,7.693661246283012e-13,0.4583393931388855,0.35089311003685,0.37382009625434875,1.0390980520469384e-07,5.111827249493217e-06,0.8529733419418335,0.5491626858711243,0.024819010868668556,3.003942538271076e-06,1.8940640075015835e-05,2.7655050871544518e-06,0.5491626858711243,4.056696312204622e-09,0.5491626858711243,0.5256555080413818,0.45893847942352295,0.4248770773410797,0.8972107172012329,0.5491626858711243,0.41211405396461487,4.681028258346487e-07,0.43216472864151,0.7520032525062561,0.1505526304244995,3.091127354082346e-08,0.6077426671981812,0.1996590942144394,0.3365442156791687,3.625582256291948e-12,1.5062249076436274e-05,0.36013051867485046,0.5973514318466187,1.9354874893906526e-06,8.060391337494366e-06,0.4513205289840698,0.00022985094983596355,0.5491626858711243,0.4573346674442291,0.013823970220983028,0.0001345558266621083
