RNA,Training_1,Training_2,Training_3,Training_4,Training_5,Training_6,Training_7,Training_8,Training_9,Training_10,Training_11,Training_12,Training_13,Training_14,Training_15,Training_16,Training_17,Training_18,Training_19,Training_20,Training_21,Training_22,Training_23,Training_24,Training_25,Training_26,Training_27,Training_28,Training_29,Training_30,Training_31,Training_32,Training_33,Training_34,Training_35,Training_36,Training_37,Training_38,Training_39,Training_40,Training_41,Training_42,Training_43,Training_44,Training_45,Training_46,Training_47,Training_48,Training_49,Training_50,Training_51,Training_52,Training_53,Training_54,Training_55,Training_56,Training_57,Training_58,Training_59,Training_60,Training_61,Training_62,Training_63,Training_64,Training_65,Training_66,Training_67,Training_68,Training_69,Training_70,Training_71,Training_72,Training_73,Training_74,Training_75,Training_76,Training_77,Training_78,Training_79,Training_80
Training_1,0.4751597046852112,0.4912112355232239,0.13515770435333252,0.4567612111568451,0.4082719683647156,0.21816903352737427,0.3827574849128723,0.32123392820358276,0.4448040723800659,0.34199416637420654,0.48881396651268005,0.4793274998664856,0.3692123293876648,0.34763962030410767,0.16489291191101074,0.2195105105638504,0.47153693437576294,0.4361008405685425,0.4402036964893341,0.13397617638111115,0.42371219396591187,0.44320759177207947,0.413857638835907,0.03252403065562248,0.119634710252285,0.35118821263313293,0.46013617515563965,0.28996068239212036,0.258388489484787,0.09005943685770035,0.3962782323360443,0.1658262312412262,0.18101851642131805,0.24523693323135376,0.4675010144710541,0.07472151517868042,0.0738697275519371,0.4850466251373291,0.4463030993938446,0.14755390584468842,0.3946468234062195,0.3049038350582123,0.4111140966415405,0.12760251760482788,0.16712605953216553,0.32255634665489197,0.4908536374568939,0.3212217688560486,0.23216630518436432,0.3427836298942566,0.17439314723014832,0.33868515491485596,0.07716332376003265,0.40760600566864014,0.48883095383644104,0.46673548221588135,0.4197910726070404,0.4033827781677246,0.4218239188194275,0.2833743095397949,0.13354195654392242,0.42606422305107117,0.3946988880634308,0.38362863659858704,0.19548799097537994,0.2931642532348633,0.40080398321151733,0.45521602034568787,0.0843643918633461,0.04622407630085945,0.3196173310279846,0.3739774823188782,0.1983829289674759,0.25320857763290405,0.33047911524772644,0.2029903531074524,0.2901076674461365,0.22078122198581696,0.3850233256816864,0.29005372524261475
Training_2,0.44944071769714355,0.44255122542381287,0.10135523974895477,0.4858093559741974,0.49962738156318665,0.13870546221733093,0.268949419260025,0.2220277488231659,0.481044739484787,0.49962738156318665,0.4346156120300293,0.4126385748386383,0.29584014415740967,0.49962738156318665,0.11023609340190887,0.4456675052642822,0.3744880259037018,0.47962912917137146,0.47933611273765564,0.09710513055324554,0.3568875193595886,0.418273001909256,0.485689252614975,0.022520791739225388,0.07640231400728226,0.5014601945877075,0.47794654965400696,0.23121929168701172,0.478525310754776,0.0589730367064476,0.32964980602264404,0.11180023849010468,0.14266708493232727,0.45762962102890015,0.4012906849384308,0.05324478819966316,0.05580063536763191,0.37366628646850586,0.37556904554367065,0.110456183552742,0.46003663539886475,0.49962738156318665,0.4510602355003357,0.08671203255653381,0.11783476918935776,0.22571063041687012,0.47199028730392456,0.25831541419029236,0.17062273621559143,0.28288495540618896,0.13441476225852966,0.5002353191375732,0.0507829412817955,0.4950718879699707,0.43337932229042053,0.39433255791664124,0.3176198899745941,0.4641682803630829,0.3549703359603882,0.2220630794763565,0.08847039937973022,0.34841060638427734,0.3287999629974365,0.2916499376296997,0.1541743129491806,0.49962738156318665,0.33370441198349,0.3828487992286682,0.06298500299453735,0.03328241780400276,0.26042965054512024,0.30802279710769653,0.1252366602420807,0.20283539593219757,0.22860895097255707,0.14879880845546722,0.4995054006576538,0.17615488171577454,0.31984037160873413,0.20226417481899261
Training_3,0.042245447635650635,0.056906431913375854,0.49786829948425293,0.04447895288467407,0.030763907358050346,0.4703894257545471,0.1267920732498169,0.21887046098709106,0.04192477837204933,0.024819275364279747,0.045916005969047546,0.08429203927516937,0.11661388725042343,0.025735851377248764,0.4984186887741089,0.012946716509759426,0.06181405112147331,0.039884939789772034,0.037531331181526184,0.49962738156318665,0.08903717994689941,0.03710659220814705,0.0336899608373642,0.49962738156318665,0.4847854971885681,0.027856990694999695,0.045223649591207504,0.18004174530506134,0.016162006184458733,0.48488563299179077,0.08151692152023315,0.4444049298763275,0.4098827540874481,0.014881763607263565,0.04918882995843887,0.49962738156318665,0.49962738156318665,0.060383472591638565,0.08462580293416977,0.49962738156318665,0.03113083355128765,0.022778164595365524,0.0334099605679512,0.49962738156318665,0.44238048791885376,0.20899006724357605,0.05286099761724472,0.12932483851909637,0.41025078296661377,0.22948908805847168,0.44776612520217896,0.02420196309685707,0.49962738156318665,0.035764921456575394,0.056872133165597916,0.0563756600022316,0.09110160171985626,0.030772404745221138,0.06884274631738663,0.2894901633262634,0.49962738156318665,0.08549928665161133,0.1526244580745697,0.09637218713760376,0.4667661786079407,0.019515827298164368,0.08765571564435959,0.07125141471624374,0.49962738156318665,0.49962738156318665,0.21815523505210876,0.1624375581741333,0.49962738156318665,0.2686282694339752,0.20503580570220947,0.43099546432495117,0.020869728177785873,0.4992620646953583,0.17195525765419006,0.3426177501678467
Training_4,0.34970664978027344,0.36974748969078064,0.17427852749824524,0.31680285930633545,0.2821357250213623,0.27817556262016296,0.4531952738761902,0.3866700232028961,0.30631813406944275,0.2327093482017517,0.3816807270050049,0.4770108461380005,0.4387471079826355,0.23007072508335114,0.21824869513511658,0.1431254744529724,0.47993916273117065,0.30029410123825073,0.3070986866950989,0.17253245413303375,0.45178496837615967,0.30235564708709717,0.27944499254226685,0.0403500460088253,0.1570478230714798,0.23349086940288544,0.32280561327934265,0.3365654945373535,0.17564766108989716,0.11622421443462372,0.4273681640625,0.21337422728538513,0.20945879817008972,0.16078007221221924,0.36910852789878845,0.09652683138847351,0.09121331572532654,0.48833659291267395,0.48111072182655334,0.18328891694545746,0.26290303468704224,0.2012842297554016,0.2768149673938751,0.1659960001707077,0.2141660451889038,0.38741061091423035,0.3680803179740906,0.3728637993335724,0.29176583886146545,0.39181336760520935,0.20909957587718964,0.22174860537052155,0.10074561834335327,0.27390238642692566,0.3807944655418396,0.4179042875766754,0.48643800616264343,0.27244603633880615,0.42008963227272034,0.3354935944080353,0.17432522773742676,0.49036353826522827,0.43620747327804565,0.4536493420600891,0.22810755670070648,0.2059796303510666,0.4394735097885132,0.47134843468666077,0.10527230054140091,0.05737987533211708,0.3584214746952057,0.4166741967201233,0.26077064871788025,0.2961520254611969,0.39587563276290894,0.25419965386390686,0.19055351614952087,0.2608380615711212,0.4226645529270172,0.3531077206134796
Training_5,0.44944071769714355,0.44255122542381287,0.10135523974895477,0.4858093559741974,0.49962738156318665,0.13870546221733093,0.268949419260025,0.2220277488231659,0.481044739484787,0.49962738156318665,0.4346156120300293,0.4126385748386383,0.29584014415740967,0.49962738156318665,0.11023609340190887,0.4456675052642822,0.3744880259037018,0.47962912917137146,0.47933611273765564,0.09710513055324554,0.3568875193595886,0.418273001909256,0.485689252614975,0.022520791739225388,0.07640231400728226,0.5014601945877075,0.47794654965400696,0.23121929168701172,0.478525310754776,0.0589730367064476,0.32964980602264404,0.11180023849010468,0.14266708493232727,0.45762962102890015,0.4012906849384308,0.05324478819966316,0.05580063536763191,0.37366628646850586,0.37556904554367065,0.110456183552742,0.46003663539886475,0.49962738156318665,0.4510602355003357,0.08671203255653381,0.11783476918935776,0.22571063041687012,0.47199028730392456,0.25831541419029236,0.17062273621559143,0.28288495540618896,0.13441476225852966,0.5002353191375732,0.0507829412817955,0.4950718879699707,0.43337932229042053,0.39433255791664124,0.3176198899745941,0.4641682803630829,0.3549703359603882,0.2220630794763565,0.08847039937973022,0.34841060638427734,0.3287999629974365,0.2916499376296997,0.1541743129491806,0.49962738156318665,0.33370441198349,0.3828487992286682,0.06298500299453735,0.03328241780400276,0.26042965054512024,0.30802279710769653,0.1252366602420807,0.20283539593219757,0.22860895097255707,0.14879880845546722,0.4995054006576538,0.17615488171577454,0.31984037160873413,0.20226417481899261
Training_6,0.47616443037986755,0.4971909821033478,0.14080137014389038,0.4672444462776184,0.42395856976509094,0.2290496975183487,0.3826923072338104,0.3207869231700897,0.4574604630470276,0.35795897245407104,0.48900124430656433,0.4930446147918701,0.37173381447792053,0.36244750022888184,0.1734326034784317,0.23313403129577637,0.4718259572982788,0.44930920004844666,0.451308012008667,0.13614793121814728,0.43417730927467346,0.45564398169517517,0.4291718304157257,0.034982070326805115,0.12643738090991974,0.36897575855255127,0.47083091735839844,0.29106438159942627,0.27330145239830017,0.09697546064853668,0.40415558218955994,0.17742620408535004,0.18678580224514008,0.2597845792770386,0.4750823974609375,0.07839011400938034,0.0787414088845253,0.48268985748291016,0.4562315344810486,0.1497432440519333,0.40724071860313416,0.32032281160354614,0.42334604263305664,0.13696765899658203,0.1787974089384079,0.321780264377594,0.4886833727359772,0.32227060198783875,0.23458732664585114,0.35294827818870544,0.18175958096981049,0.352519154548645,0.08361775428056717,0.42102304100990295,0.49366050958633423,0.4773339033126831,0.41976460814476013,0.4160136282444,0.43175798654556274,0.2876368463039398,0.14078134298324585,0.4309486150741577,0.4025839567184448,0.38304251432418823,0.20146769285202026,0.3054646849632263,0.40698739886283875,0.468303382396698,0.0890442430973053,0.04951407015323639,0.32519420981407166,0.38426944613456726,0.2031422108411789,0.26055875420570374,0.32965224981307983,0.2093258947134018,0.305572509765625,0.22744962573051453,0.39414122700691223,0.3036329448223114
Training_7,0.285072386264801,0.28947508335113525,0.19929036498069763,0.24491697549819946,0.21607618033885956,0.3191925883293152,0.47994503378868103,0.4339063763618469,0.23138876259326935,0.18548046052455902,0.31396591663360596,0.4114185869693756,0.47058579325675964,0.17586290836334229,0.25356802344322205,0.11031891405582428,0.40885838866233826,0.2309475988149643,0.24635934829711914,0.2024206519126892,0.3809582591056824,0.22644957900047302,0.20885151624679565,0.04616417735815048,0.17941375076770782,0.17725375294685364,0.2492613047361374,0.36553046107292175,0.13825948536396027,0.13378718495368958,0.38296425342559814,0.24149085581302643,0.23552632331848145,0.12070734053850174,0.2844025194644928,0.11115644872188568,0.10451523214578629,0.4253373146057129,0.4060750901699066,0.21424542367458344,0.19771452248096466,0.15040771663188934,0.20826978981494904,0.18947532773017883,0.24228134751319885,0.4331768751144409,0.299183189868927,0.3979185223579407,0.33364754915237427,0.43012648820877075,0.23526576161384583,0.16573689877986908,0.11693479120731354,0.20702014863491058,0.29418668150901794,0.3470911383628845,0.487680047750473,0.20677994191646576,0.3345833718776703,0.3788536489009857,0.200076624751091,0.4619167745113373,0.4529995620250702,0.48162221908569336,0.2572890818119049,0.16578717529773712,0.4137081503868103,0.3980020582675934,0.1217094138264656,0.06601192057132721,0.3858807682991028,0.4359186887741089,0.29985079169273376,0.33011963963508606,0.4411788880825043,0.29239141941070557,0.1427939385175705,0.2928825616836548,0.44273462891578674,0.3766442835330963
Training_8,0.4001438021659851,0.4236656129360199,0.16305014491081238,0.3688671886920929,0.32886365056037903,0.26096248626708984,0.4373171031475067,0.37066584825515747,0.3582369089126587,0.269646555185318,0.430559903383255,0.48910120129585266,0.4231394827365875,0.2700504660606384,0.20290811359882355,0.1687365174293518,0.4964839220046997,0.34960824251174927,0.3568754494190216,0.15998749434947968,0.44582265615463257,0.3555906414985657,0.3283148407936096,0.03761528059840202,0.1467573344707489,0.2740628719329834,0.37356725335121155,0.32408878207206726,0.20568133890628815,0.10832546651363373,0.42053067684173584,0.20040357112884521,0.20003297924995422,0.18885397911071777,0.4264371991157532,0.08994462341070175,0.08495935797691345,0.4981440305709839,0.47983983159065247,0.1717936396598816,0.31012508273124695,0.23605141043663025,0.325609415769577,0.15530332922935486,0.2011294662952423,0.371772825717926,0.4243679940700531,0.36066320538520813,0.27566951513290405,0.37607908248901367,0.19928507506847382,0.26177358627319336,0.09361512213945389,0.3222978413105011,0.4388033151626587,0.46795132756233215,0.4729430675506592,0.31895291805267334,0.4422667622566223,0.32204878330230713,0.1632009744644165,0.47741252183914185,0.42413559556007385,0.4383690059185028,0.21692536771297455,0.23581746220588684,0.4298374652862549,0.49126148223876953,0.09799539297819138,0.05338723957538605,0.34619444608688354,0.40636441111564636,0.2433788776397705,0.2843448221683502,0.38006433844566345,0.23945659399032593,0.223789781332016,0.2499469667673111,0.40982624888420105,0.33800286054611206
Training_9,0.44944071769714355,0.44255122542381287,0.10135523974895477,0.4858093559741974,0.49962738156318665,0.13870546221733093,0.268949419260025,0.2220277488231659,0.481044739484787,0.49962738156318665,0.4346156120300293,0.4126385748386383,0.29584014415740967,0.49962738156318665,0.11023609340190887,0.4456675052642822,0.3744880259037018,0.47962912917137146,0.47933611273765564,0.09710513055324554,0.3568875193595886,0.418273001909256,0.485689252614975,0.022520791739225388,0.07640231400728226,0.5014601945877075,0.47794654965400696,0.23121929168701172,0.478525310754776,0.0589730367064476,0.32964980602264404,0.11180023849010468,0.14266708493232727,0.45762962102890015,0.4012906849384308,0.05324478819966316,0.05580063536763191,0.37366628646850586,0.37556904554367065,0.110456183552742,0.46003663539886475,0.49962738156318665,0.4510602355003357,0.08671203255653381,0.11783476918935776,0.22571063041687012,0.47199028730392456,0.25831541419029236,0.17062273621559143,0.28288495540618896,0.13441476225852966,0.5002353191375732,0.0507829412817955,0.4950718879699707,0.43337932229042053,0.39433255791664124,0.3176198899745941,0.4641682803630829,0.3549703359603882,0.2220630794763565,0.08847039937973022,0.34841060638427734,0.3287999629974365,0.2916499376296997,0.1541743129491806,0.49962738156318665,0.33370441198349,0.3828487992286682,0.06298500299453735,0.03328241780400276,0.26042965054512024,0.30802279710769653,0.1252366602420807,0.20283539593219757,0.22860895097255707,0.14879880845546722,0.4995054006576538,0.17615488171577454,0.31984037160873413,0.20226417481899261
Training_10,0.44944071769714355,0.44255122542381287,0.10135523974895477,0.4858093559741974,0.49962738156318665,0.13870546221733093,0.268949419260025,0.2220277488231659,0.481044739484787,0.49962738156318665,0.4346156120300293,0.4126385748386383,0.29584014415740967,0.49962738156318665,0.11023609340190887,0.4456675052642822,0.3744880259037018,0.47962912917137146,0.47933611273765564,0.09710513055324554,0.3568875193595886,0.418273001909256,0.485689252614975,0.022520791739225388,0.07640231400728226,0.5014601945877075,0.47794654965400696,0.23121929168701172,0.478525310754776,0.0589730367064476,0.32964980602264404,0.11180023849010468,0.14266708493232727,0.45762962102890015,0.4012906849384308,0.05324478819966316,0.05580063536763191,0.37366628646850586,0.37556904554367065,0.110456183552742,0.46003663539886475,0.49962738156318665,0.4510602355003357,0.08671203255653381,0.11783476918935776,0.22571063041687012,0.47199028730392456,0.25831541419029236,0.17062273621559143,0.28288495540618896,0.13441476225852966,0.5002353191375732,0.0507829412817955,0.4950718879699707,0.43337932229042053,0.39433255791664124,0.3176198899745941,0.4641682803630829,0.3549703359603882,0.2220630794763565,0.08847039937973022,0.34841060638427734,0.3287999629974365,0.2916499376296997,0.1541743129491806,0.49962738156318665,0.33370441198349,0.3828487992286682,0.06298500299453735,0.03328241780400276,0.26042965054512024,0.30802279710769653,0.1252366602420807,0.20283539593219757,0.22860895097255707,0.14879880845546722,0.4995054006576538,0.17615488171577454,0.31984037160873413,0.20226417481899261
