protein	Training_1	Training_2	Training_3	Training_4	Training_5	Training_6	Training_7	Training_8	Training_9	Training_10	Training_11	Training_12	Training_13	Training_14	Training_15	Training_16	Training_17	Training_18	Training_19	Training_20	Training_21	Training_22	Training_23	Training_24	Training_25	Training_26	Training_27	Training_28	Training_29	Training_30	Training_31	Training_32	Training_33	Training_34	Training_35	Training_36	Training_37	Training_38	Training_39	Training_40	Training_41	Training_42	Training_43	Training_44	Training_45	Training_46	Training_47	Training_48	Training_49	Training_50	Training_51	Training_52	Training_53	Training_54	Training_55	Training_56	Training_57	Training_58	Training_59	Training_60	Training_61	Training_62	Training_63	Training_64	Training_65	Training_66	Training_67	Training_68	Training_69	Training_70	Training_71	Training_72	Training_73	Training_74	Training_75	Training_76	Training_77	Training_78	Training_79	Training_80
A1BG	2.919687734	3.753851205	3.513301926	3.588087293	3.405176058	3.575758686	4.141304215	4.561299306	3.253264313	3.386381021	3.557637285	2.792226551	4.317064151	3.651310547	3.858261761	3.737226352	3.419738363	3.61278159	3.986591256	3.047470738	4.291082498	3.753319345	3.444089199	3.612348441	4.094970888	3.630603502	3.035808567	5.18483727	1.293665371	3.225746232	1.957586099	1.538165673	3.705226761	2.444697621	4.151410832	3.32751866	3.826532517	4.663958071	2.73626342	3.289219031	3.443756714	3.394770758	2.57393577	3.667691696	3.732089417	3.587566414	3.644888917	2.848396227	3.234856233	4.143398509	2.108383639	4.126981588	3.647267327	3.406307633	4.571020208	3.220925176	3.855817548	2.101335038	4.19580981	3.088236598	3.216507827	4.129220824	3.548255324	3.133238231	5.043781165	3.940400117	1.431350133	2.638246318	3.317223098	2.913155068	2.263824272	2.596242989	3.75200481	3.99066854	1.62047807	1.824769375	2.785446519	4.354092361	3.787886834	3.555323597
A2M	5.737663389	5.752415561	5.601926819	6.092091231	5.664236916	6.481124879	6.308504864	6.964773668	6.797334225	6.777041178	6.301448376	6.009320387	6.382359865	6.300488925	6.272161015	5.459219278	6.77259752	5.833153782	7.02700178	5.971261343	6.709388616	4.027808303	6.452856107	4.476568837	6.624787998	5.689964184	5.398579978	7.085772893	5.219068698	6.103209682	5.476815965	6.050476115	6.347487864	5.565794617	6.269900298	5.986494109	6.109067874	7.383015002	5.482291673	6.177732934	6.393320876	5.794375348	5.861315505	5.529637823	6.972107962	5.844716971	6.529028079	5.008943034	7.121271459	6.240626263	5.976408889	6.565287143	6.138555684	5.525187397	6.372243502	5.857534709	6.033684699	5.84245095	5.963084994	6.553774376	5.873751491	7.043929887	5.790233589	6.16078659	6.474668598	5.944503743	5.73287	6.376542048	5.797890266	5.294344021	6.211171429	6.463961965	4.929936389	6.009691814	6.153340994	6.292463532	5.835559706	6.439794989	6.28730683	5.419687208
AAAS	2.002400593	1.090277088	2.78935868	2.085648237	1.825888139	1.073909349	1.088822953	NA	2.440911331	1.791904524	3.013519512	2.04186621	1.782544667	2.128989088	2.348558664	1.9099236	2.632054217	1.840943206	1.994924339	2.998128928	1.1962376	1.073909349	2.132537869	2.493589246	1.701226859	0.962556348	2.150493402	1.882280945	1.791904524	2.216216767	2.54611805	2.755904345	2.74585062	2.507339744	2.153559396	1.073909349	3.62643051	1.589205307	2.247768826	2.90962246	2.463620772	1.609441045	1.865585625	2.447269187	NA	2.597480483	2.151233225	2.950956101	1.559711532	1.012081533	2.892117997	1.703353793	1.842869753	2.40815903	1.052424843	1.745232484	1.877274179	1.833881521	1.049799932	1.073909349	1.073909349	2.813789217	2.899857312	1.724690935	1.00511302	1.881872282	1.179232131	1.869847319	1.77371181	2.376768121	1.154080076	3.057443407	2.773994696	0.966152655	2.644739043	1.768406739	1.153989646	2.912014597	3.282971305	3.009875776
AACS	1.46111327	NA	1.50431429	1.007232725	NA	1.987333822	NA	NA	1.024838462	2.488891865	2.620440243	NA	NA	0.979942342	1.503097944	1.351957773	2.049379545	1.155690725	1.699439942	0.983620396	NA	0.979942342	NA	1.64879707	1.099892382	NA	NA	2.358036715	NA	NA	1.849561533	1.400565102	1.42450849	2.820085696	NA	NA	1.07243835	0.990946335	1.412919773	2.285615177	0.979942342	1.052923359	1.034080538	1.56320222	NA	1.040950483	1.270617943	NA	NA	NA	2.831208761	NA	NA	1.024838462	NA	1.909238262	NA	1.156628791	NA	2.186689397	1.833834458	1.849561533	2.426201268	0.995395666	1.096033358	1.036938464	NA	1.336942744	NA	NA	1.260631155	1.048942877	1.260608263	2.596945543	1.776789048	NA	NA	1.001860674	1.517540425	0.994594335
AAGAB	NA	NA	NA	NA	NA	1.895772667	NA	NA	0.991114488	1.522399303	0.991114488	NA	NA	1.378174205	1.407357781	NA	1.236491587	1.105665236	1.005258046	1.0152337	NA	NA	1.039884845	1.814135609	1.056901943	NA	1.043339217	1.091558878	1.096724306	0.991114488	NA	0.991114488	1.010896595	NA	0.991114488	NA	NA	NA	NA	1.0152337	NA	NA	NA	NA	NA	1.005258046	1.20578129	NA	1.017025179	NA	0.991114488	NA	NA	NA	1.099258147	0.991114488	1.001737307	NA	1.096724306	1.010896595	1.010896595	0.991114488	NA	1.029128659	NA	1.001737307	1.221222748	NA	1.08028623	NA	NA	NA	1.010896595	1.629562909	1.558594439	NA	1.197009703	NA	0.992509252	NA
AAK1	1.731009245	NA	NA	NA	1.066124208	1.5786392	1.063533267	NA	2.255341585	1.702301248	2.573517267	NA	1.038434067	2.05531069	2.176766699	1.223863507	2.036270336	NA	1.4976629	NA	NA	2.152695292	1.007622292	NA	NA	1.888260235	1.010788459	NA	NA	1.585751766	NA	1.262303431	1.045045273	2.921167967	2.010797173	1.045045273	NA	NA	1.048636602	NA	NA	NA	NA	NA	1.158809746	1.837609535	1.508614442	2.543523233	1.666040288	1.653512349	1.537769397	2.311465271	2.158555074	0.962887305	NA	1.950809632	1.775250871	NA	NA	2.068753412	1.388630585	1.915144363	NA	1.882631907	NA	NA	NA	1.045045273	1.686741179	NA	NA	1.496935156	NA	0.98550211	1.055212767	NA	1.151372308	1.075422671	0.964167576	1.837762706
AAMDC	1.003990832	1.473388153	NA	1.551875966	NA	NA	1.006191031	1.813811304	1.011458063	1.67785799	1.767292957	NA	1.112883156	1.873517094	NA	NA	2.787883532	1.152716564	NA	0.997118886	1.096198146	0.993667699	NA	2.370551784	1.092354511	1.037399279	1.07562383	1.057562076	NA	1.871061474	NA	1.011458063	1.406834948	1.961954102	2.063484872	0.993667699	1.080253228	1.003990832	NA	1.998756369	0.993667699	NA	NA	NA	1.71653239	NA	2.112331717	2.186486019	1.399282505	2.924364337	1.096512839	2.487006159	NA	1.011458063	NA	1.499325484	NA	NA	1.141625498	0.993667699	1.56052861	2.334381303	1.431041341	1.008163069	NA	1.024475236	NA	1.325958509	NA	NA	NA	2.253194683	0.993667699	1.041686793	1.418998412	2.389268904	NA	1.542631806	1.013166159	NA
AARS	4.791963969	4.034208425	4.460874752	4.293510113	3.681593675	5.106936547	4.909369667	4.19263193	4.676234035	4.984966089	4.678367068	4.880060174	4.037979039	4.917068447	4.523085123	5.091591264	5.093973939	4.268353839	4.200765619	4.253981241	4.074237064	4.967600716	4.285388563	2.871286319	4.387210242	4.564263085	4.56862584	4.133333357	3.185842847	4.127191031	4.219808321	4.495058215	4.850300315	4.424306269	4.241091153	4.631412465	3.834780675	4.571185286	4.592928734	4.407192471	4.699445771	4.42428582	4.417123109	4.259733373	4.284135543	4.958245428	4.231587394	4.747854433	5.055345141	3.832419594	4.088443682	4.449200397	4.475888812	4.661351832	4.43499483	4.386997676	4.465320342	4.801808209	4.642430397	4.95987489	4.409522633	4.62170106	5.224006822	4.625389459	5.219361837	4.41458117	3.66089776	5.140591131	4.339415846	3.793758524	3.928214385	4.774672714	4.635080107	4.767954328	5.102837288	3.585298471	4.626269663	3.99509071	4.316528203	4.697693625
AARS2	1.729554741	2.20119397	1.782342408	1.171600412	2.495296194	1.600736849	2.709760629	2.223190023	2.483154798	3.087870601	1.091712664	1.110249674	1.676234392	1.517403033	1.962693872	2.809091333	1.76093925	2.45250412	1.873263395	1.688584012	NA	2.708062121	NA	3.156428789	NA	0.91783933	1.572997592	1.222077282	2.438690427	2.462252455	1.590996634	2.396294725	3.483815746	2.076812414	1.706927596	1.591337221	1.252021647	1.151509313	NA	2.724291987	2.36787397	1.936909558	2.012107001	1.164973484	NA	1.831867202	2.226150176	3.401944232	NA	NA	3.123801229	1.602861131	1.009031508	2.458879073	NA	1.273558552	2.100817287	1.723826121	1.719330007	2.325406184	1.88854861	2.997174227	NA	1.856827725	1.60107063	1.380456045	1.118144584	2.622501149	0.982783613	2.228518994	3.411097123	1.853437769	2.276682769	0.921166138	1.1469967	NA	1.094817637	1.164973484	2.284094574	1.156009606
AASDHPPT	1.590430888	1.635938072	1.645670781	1.745228621	NA	0.986304773	1.002654226	1.688157228	1.610677766	1.794630678	1.591462058	1.222027712	1.085655854	1.370321557	1.41141369	1.004913049	1.618576386	NA	1.57636043	0.990805886	1.12139411	1.48883486	1.052722052	NA	NA	NA	1.056106124	NA	1.794630678	1.938752734	1.702126382	NA	1.543708671	1.506156841	1.816270499	0.986304773	NA	0.99977859	1.528934247	0.990805886	1.432277418	1.627908579	1.052800825	1.013164288	NA	1.553041507	1.214950383	0.986304773	0.992665396	1.072687906	1.072687906	NA	1.119106966	1.004913049	NA	NA	2.20086014	1.117917778	NA	1.439893408	1.289251356	1.702126382	NA	1.005232818	NA	1.49338696	1.230023006	1.43230372	1.778046406	1.995892448	1.206471167	NA	1.33568891	1.02908065	2.316822091	1.013164288	NA	NA	1.006281153	1.00425024
